17/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 75.2 
18/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 79.3 
19/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 82.2 
20/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 69.9 
21/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 79.6 
22/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 87.1 
23/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 87.6 
24/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 89.9 
25/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 90.8 
26/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 90.5 
27/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 93 
28/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 91.3 
29/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 83.6 
30/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 78.6 
31/08/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 80.6 
01/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 82.2 
02/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 83 
03/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 83.5 
04/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 84.9 
05/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 82.6 
06/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 84.1 
07/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 82.2 
08/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 83 
09/09/2014; CORANTIOQUIA ; Ca. Amalfi 2014 ; Manual ; 6.91 ; -75.079167 ; 5 ; ANTIOQUIA ; 5031 ; AMALFI ; Indicativa ; 24 ; Humedad Relativa ; % ; 85.3 
