26/11/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 13.7 
27/11/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 12.3 
28/11/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 8 
29/11/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 7.8 
30/11/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 11.4 
01/12/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 4 
02/12/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 3.6 
03/12/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 12.3 
04/12/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 15.5 
05/12/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 2.2 
06/12/2017; CODECHOCÓ ; Univ. Tecnológica del Chocó ; Manual ; 5.681111 ; -76.646111 ; 27 ; CHOCÓ ; 27001 ; QUIBDÓ ; Indicativa ; 24 ; Velocidad del Viento ; m/s ; 8.1 
